"Istituzione","Contratto","Macrocategoria","Categoria","Personale Tempo Determinato Uomini","Personale Tempo Determinato Donne","Formazione Lavoro Uomini","Formazione Lavoro Donne","Interinale Uomini","Interinale Donne","Lavoro Socialmente Utile Uomini","Lavoro Socialmente Utile Donne"
"C2399","RALN","ND","CA","0","0","0","0","0","0","4,56","1"
"C2411","RALN","ND","CA","2","0","0","0","0","0","0","0"
"C2413","RALN","ND","CA","0","0","0","0","0,5","0","0","0"
"C2425","PRTN","ND","CA","0","0,83","0","0","0","0","0","0"
"C2435","RALN","ND","CA","0","0","0","0","0","0","1,09","0"
"C2440","RALN","ND","CA","0","0","0","0","0","0","1,59","0,82"
"C2446","REVA","ND","CA","0","0,64","0","0","0","0,13","0","0"
"C2448","RALN","ND","CA","0","0","0","0","0","0","0","0,51"
"C2450","RALN","ND","CA","0","0","0","0","0","0","5","1"
"C2463","RALN","ND","CA","0","0","0","0","0","0","2,5","0,78"
"C2467","RALN","ND","CA","0","0","0","0","0","0","2,2","2,2"
"C2475","RALN","ND","CA","0,22","0","0","0","0","0","0","0"
"C2483","RALN","ND","CA","0","0","0","0","0","0","1,11","0,56"
"C2491","RALN","ND","CA","6","0","0","0","0","0","0","0"
"C2495","RALN","ND","CA","0","0","0","0","0","0","0,94","0,95"
"C2510","RALN","ND","CA","0","0","0","0","0","0","1,13","0,5"
"C2521","RALN","ND","CA","0","0","0","0","0","0","2","6"
"C2522","RALN","ND","CA","0","0","0","0","0","0","14","0"
"C2524","PRTN","ND","CA","0,31","1,11","0","0","0","0","0","0"
"C2525","RALN","ND","CA","6,83","11,92","0","0","0","0","0","0"
"C2530","RALN","ND","CA","0","0","0","0","0","0","1,38","0,92"
"C2531","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C2543","RALN","ND","CA","0","0","0","0","0","0","4","3"
"C2546","RALN","ND","CA","0","0","0","0","0","0","3,96","0,68"
"C2549","RALN","ND","CA","0","0","0","0","0","0","2","0"
"C2554","RALN","ND","CA","0","2","0","0","0","0","0","0"
"C2557","RALN","ND","CA","0","0","0","0","0","0","6,66","11,1"
"C2561","RALN","ND","CA","0","0","0","0","0","0","2","1"
"C2563","RALN","ND","CA","0","0","0","0","0","0","6","2"
"C2573","REFR","ND","CA","0","0","0","0","0","0","0","0,91"
"C2579","RALN","ND","CA","0","1","0","0","0","0","0","0"
"C2583","RALN","ND","CA","0","0","0","0","0","0","2","0"
"C2584","RALN","ND","CA","0","0","0","0","0","0","0","4"
"C2587","RALN","ND","CA","4,27","1,36","0","0","0","0","0","0"
"C2588","RALN","ND","CA","0","0","0","0","0","0","0","12"
"C1631","PRBZ","ND","CA","0,23","4,68","0","0","0","0","0","0"
"C2608","RALN","ND","CA","0","1","0","0","0","0","0","0"
"C2614","RALN","ND","CA","0","0","0","0","0","0","0,1","0"
"C2615","RALN","ND","CA","0","0","0","0","0","0","1,02","0,19"
"C2617","PRBZ","ND","CA","0,5","2,66","0","0","0","0","0","0"
"C2618","RALN","ND","CA","0","0","0","0","0","0","3","3"
"C2638","PRBZ","ND","CA","0","0,5","0","0","0","0","0,37","0"
"C2652","RALN","ND","CA","5","1","0","0","0","0","0","0"
"C2662","RALN","ND","CA","0","0","0","0","0","0","0,16","0"
"C2661","RALN","ND","CA","0","0","0","0","0","0","0,1","0"
"C2675","RALN","ND","CA","0","0","0","0","0","0","3","0"
"C2685","RALN","ND","CA","0","0","0","0","0","0","0,5","0,5"
"C2704","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C2709","RALN","ND","CA","0","0","0","0","0","0","7","5"
"C2710","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C2712","RALN","ND","CA","0","0","0","0","0","0","7","1"
"C2724","RALN","ND","CA","0","0","0","0","0","0","1,25","0"
"C2732","PRTN","ND","CA","0","1,41","0","0","0","0","0","0"
"C2743","PRBZ","ND","CA","0","0,58","0","0","0","0","0,29","0"
"C2746","RALN","ND","CA","0","0","0","0","0","0","0,28","0"
"C2748","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C2757","RALN","ND","CA","0","0","0","0","0","0","0","1,29"
"C2762","RALN","ND","CA","0","0","0","0","0","0","1,76","2,96"
"C2779","RALN","ND","CA","5,01","1,34","0","0","0","0","0","0"
"C2791","RALN","ND","CA","0","0","0","0","0","0","1,28","0,72"
"C2805","RALN","ND","CA","0","0","0","0","0","0","1","2"
"C2823","RALN","ND","CA","1","0","0","0","0","0","0","0"
"C2828","RALN","ND","CA","0,19","0","0","0","0","0","0","0"
"C2829","RALN","ND","CA","0","0","0","0","0","0","2","0"
"C2855","PRTN","ND","CA","0","3,4","0","0","0","0","0","0"
"C2861","RALN","ND","CA","0","0","0","0","0","0","3,67","0,47"
