"Istituzione","Contratto","Categoria Partenza","Qualifica Partenza","Categoria Arrivo","Qualifica Arrivo","Tipo Passaggio","Numero Passaggi"
"U10734","SSNA","ST","S16021","LA","A14005","V","1"
"U9427","SSNA","ST","S16021","LA","A14005","V","1"
"U9433","SSNA","ST","S16021","LA","A14005","V","3"
"PU10744","SSNA","ST","S16021","LA","A14005","V","1"
"U10524","SSNA","ST","S00062","SF","S16019","V","23"
"U10524","SSNA","ST","S00062","SF","S14E51","V","1"
"AP192","SSNA","SV","S18921","LT","T18027","V","2"
"U10509","SSNA","SV","S16022","SI","S16020","V","4"
"U10532","SSNA","SV","S16022","SI","S16020","V","1"
"U9473","SSNA","SV","S16022","SI","S16020","V","1"
"U9656","SSNA","SV","S16022","SI","S16020","V","1"
"U11799","SSNA","SV","S16022","ST","S16021","V","2"
"U10049","SSNA","SV","S16022","ST","S16021","V","3"
"U10532","SSNA","SV","S16022","SF","S18922","V","1"
"U10734","SSNA","SV","S16022","LT","T16026","V","1"
"AP192","SSNA","SV","S16022","LT","T16026","V","2"
"U9534","SSNA","SF","S18922","DS","SD0483","V","1"
"U9666","SSNA","SF","S18922","ST","S18920","V","1"
"U10326","SSNA","SF","S16019","DS","SD0604","V","1"
"U9514","SSNA","SF","S16019","DS","SD0483","V","1"
"U10859","SSNA","SF","S16019","SI","S18023","V","1"
"U9566","SSNA","SF","S16019","SI","S16020","V","1"
