ISTITUZIONE;CONTRATTO;MACROCATEGORIA;CATEGORIA;PERSONALE_TEMPO_DETERMINATO_UOMINI;PERSONALE_TEMPO_DETERMINATO_DONNE;FORMAZIONE_LAVORO_UOMINI;FORMAZIONE_LAVORO_DONNE;INTERINALE_UOMINI;INTERINALE_DONNE;LAVORO_SOCIALMENTE_UTILE_UOMINI;LAVORO_SOCIALMENTE_UTILE_DONNE
C6574;RALN;ND;CD;0,67;0;0;0;0;0;0;0
C974;RALN;ND;CD;0;0,42;0;0;0;0;0;0
C6809;RALN;ND;CC;0,5;0;0;0;0;0;0;0
C6809;RALN;ND;CB;0;0;0;0;0,6;0;0;0
C3731;RALN;ND;CD;0;0;0;0;0;0,34;0;0
C3731;RALN;ND;CC;0;0;0;0;0,34;0;0;0
C7427;RALN;ND;CD;0;1;0;0;0;0;0;0
R9191;RALN;ND;CD;3,75;2,9;0;0;0;0;0;0
R9191;RALN;ND;CC;2,6;2,2;0;0;0;0;0;0
C6975;RALN;ND;CC;0;0,33;0;0;0;0;0;0
C6975;RALN;ND;CB;0;0,83;0;0;0;0;0;0
FL11975;LS13;NF;LI;17,06;7,41;0;0;0;0;0;0
C1445;PRBZ;NF;CA;2;0,22;0;0;0;0;1,52;0,55
C1445;PRBZ;NF;CC;0;1,67;0;0;0;0;0;0
C1445;PRBZ;NF;CB;0,21;0,85;0;0;0;0;0;0
N10837;RALN;ND;PC;64,63;5,59;0;0;0;0;0;0
N10837;RALN;ND;CD;0,78;0,25;0;0;0;0;0;0
N10837;RALN;ND;CC;0,17;1;0;0;0;0;0;0
N10837;RALN;ND;CB;0;0,33;0;0;0;0;0;0
C3857;RALN;ND;CC;0,41;1,19;0;0;0;22,15;0;0
C3857;RALN;ND;CD;0,78;7,01;0;0;0;0;0;0
C4205;RALN;ND;CB;0;0;0;0;1,08;0;0;0
C5034;RALN;ND;CC;0,1;0,1;0;0;0,15;0;0;0
