"Istituzione","Contratto","Categoria","Qualifica","Causale Assenza","Form Uomini","Form Donne","Form Media Uomini","Form Media Donne"
"C1637","RALN","CB","038490","Z01","0","1","0","1"
"C1637","RALN","CB","037493","Z01","0","2","0","0"
"C1638","RALN","CD","057000","Z01","0","5","0","2,5"
"C1638","RALN","CC","056000","Z01","0","5","0","0"
"C1639","RALN","FP","0D0102","Z01","0","1","0","1"
"C1639","RALN","CD","0D6000","Z01","0","1","0","1"
"C1639","RALN","CD","051489","Z01","0","3","0","3"
"C1639","RALN","CD","050000","Z01","0","1","0","0"
"C1639","RALN","CD","057000","Z01","0","4","0","2"
"C1639","RALN","CC","046000","Z01","0","9","0","2,25"
"C1639","RALN","CC","042000","Z01","0","1","0","1"
"C1639","RALN","CC","056000","Z01","0","5","0","0"
"C1639","RALN","CB","0B7A00","Z01","0","5","0","5"
"C1639","RALN","CB","038490","Z01","0","4","0","1,333333333"
"C1639","RALN","CB","037493","Z01","0","5","0","2,5"
"C1639","RALN","CB","036494","Z01","0","1","0","0"
"C1641","RALN","CD","050000","Z01","0","2","0","2"
"C1641","RALN","CD","049000","Z01","0","2","0","1"
"C1641","RALN","CC","045000","Z01","0","4","0","2"
"C1641","RALN","CC","056000","Z01","0","4","0","2"
"C1641","RALN","CB","054000","Z01","5","0","5","0"
"C1646","RALN","CC","045000","Z01","1","0","0,5","0"
"C1646","RALN","CB","038490","Z01","1","0","0","0"
"C1647","RALN","SP","0D0I95","Z01","7","0","2,333333333","0"
"C1647","RALN","CD","052486","Z01","20","11","2,222222222","2,75"
"C1647","RALN","CD","052487","Z01","6","13","1,5","3,25"
"C1647","RALN","CD","051488","Z01","0","5","0","1,666666667"
"C1647","RALN","CD","051489","Z01","11","17","1,571428571","4,25"
"C1647","RALN","CD","050000","Z01","12","2","6","0,666666667"
"C1647","RALN","CD","049000","Z01","11","15","2,2","2,5"
"C1647","RALN","CD","057000","Z01","1","12","0","4"
"C1647","RALN","CC","046000","Z01","3","8","1,5","1,142857143"
"C1647","RALN","CC","045000","Z01","8","5","0,888888889","0,555555556"
"C1647","RALN","CC","043000","Z01","0","2","0","1"
"C1647","RALN","CC","042000","Z01","8","21","1,142857143","1,75"
"C1647","RALN","CC","056000","Z01","14","44","3,5","2,75"
"C1647","RALN","CB","0B7A00","Z01","4","0","0,666666667","0"
"C1647","RALN","CB","038490","Z01","0","2","0","0,5"
"C1647","RALN","CB","037492","Z01","6","1","1,2","0,25"
"C1647","RALN","CB","036494","Z01","13","6","1","3"
"C1647","RALN","CB","036495","Z01","0","2","0","0,285714286"
"C1647","RALN","CB","055000","Z01","2","15","1","2,142857143"
"C1647","RALN","CB","034000","Z01","2","0","0,2","0"
"C1647","RALN","CB","054000","Z01","1","0","0,333333333","0"
"C1647","RALN","DI","0D0164","Z01","1","2","1","0"
"C1647","RALN","DI","0D0165","Z01","3","0","3","0"
"C1647","RALN","RP","000096","Z01","2","0","0,666666667","0"
"C1648","RALN","FP","0D0103","Z01","0","1","0","1"
"C1648","RALN","CD","052486","Z01","0","3","0","3"
"C1648","RALN","CD","051488","Z01","0","2","0","2"
"C1648","RALN","CD","049000","Z01","0","1","0","0"
"C1648","RALN","CD","057000","Z01","0","1","0","1"
"C1648","RALN","CC","043000","Z01","1","0","1","0"
"C1648","RALN","CB","037492","Z01","0","1","0","1"
"C1657","RALN","FP","0D0103","Z01","0","3","0","3"
"C1657","RALN","CD","052487","Z01","0","2","0","2"
"C1657","RALN","CD","051489","Z01","0","6","0","6"
"C1658","RALN","FP","0D0102","Z01","1","0","1","0"
"C1658","RALN","CD","0D6000","Z01","8","9","1,333333333","1,285714286"
"C1658","RALN","CD","052487","Z01","1","5","0,2","0,833333333"
"C1658","RALN","CD","051489","Z01","1","8","0,125","0,307692308"
"C1658","RALN","CD","049000","Z01","2","6","0,181818182","0,428571429"
"C1658","RALN","CD","057000","Z01","3","7","0,5","0,466666667"
"C1658","RALN","CC","046000","Z01","1","0","0,083333333","0"
"C1658","RALN","CC","045000","Z01","6","0","0,315789474","0"
"C1658","RALN","CC","043000","Z01","22","7","1,571428571","0,5"
"C1658","RALN","CC","042000","Z01","48","117","1,548387097","3,162162162"
"C1658","RALN","CC","056000","Z01","113","58","5,65","2,32"
"C1658","RALN","CB","037493","Z01","0","1","0","0,2"
"C1658","RALN","CB","034000","Z01","3","4","0,3","0,444444444"
"C1658","RALN","CB","032000","Z01","0","1","0","0,047619048"
"C1658","RALN","CB","054000","Z01","0","4","0","0,8"
"C1658","RALN","DI","0D0164","Z01","2","0","0,285714286","0"
"C1658","RALN","DI","0D0165","Z01","1","0","0,5","0"
"C1659","RALN","CD","051488","Z01","3","5","3","5"
"C1659","RALN","CD","057000","Z01","0","6","0","6"
"C1659","RALN","CC","046000","Z01","4","18","2","4,5"
"C1659","RALN","CC","045000","Z01","2","0","2","0"
"C1659","RALN","CC","043000","Z01","0","4","0","4"
"C1659","RALN","CC","042000","Z01","5","0","5","0"
"C1659","RALN","CB","0B7A00","Z01","0","4","0","2"
"C1659","RALN","CB","037492","Z01","0","2","0","0"
"C1659","RALN","CB","055000","Z01","0","4","0","0"
"C1659","RALN","CB","032000","Z01","2","0","2","0"
"C1659","RALN","CA","027000","Z01","2","0","0","0"
"C1665","RALN","CD","0D6000","Z01","3","0","3","0"
"C1665","RALN","CD","051489","Z01","0","9","0","3"
"C1665","RALN","CD","050000","Z01","3","0","3","0"
"C1665","RALN","CD","049000","Z01","3","0","3","0"
"C1665","RALN","CC","043000","Z01","2","0","1","0"
"C1665","RALN","CC","042000","Z01","2","0","1","0"
"C1665","RALN","CC","056000","Z01","0","4","0","2"
"C1665","RALN","CB","037492","Z01","0","4","0","1,333333333"
"C1665","RALN","CB","036494","Z01","1","1","1","1"
"C1665","RALN","CB","036495","Z01","0","1","0","1"
"C1665","RALN","CB","055000","Z01","1","2","1","2"
"C1665","RALN","CB","034000","Z01","0","1","0","1"
"C1666","RALN","CD","051489","Z01","0","4","0","2"
"C1666","RALN","CC","046000","Z01","2","2","1","2"
"C1666","RALN","CC","045000","Z01","0","2","0","2"
"C1666","RALN","CC","043000","Z01","4","4","4","2"
"C1666","RALN","CB","037492","Z01","0","2","0","2"
"C1669","RALN","CD","049000","Z01","0","1","0","0,5"
"C1674","RALN","CD","052486","Z01","0","2","0","2"
"C1674","RALN","CD","058000","Z01","2","0","0","0"
"C1674","RALN","CD","050000","Z01","0","1","0","0,25"
"C1674","RALN","CC","046000","Z01","0","1","0","1"
"C1674","RALN","CB","036495","Z01","0","1","0","1"
"C1675","PRTN","CC","056000","Z01","0","2","0","0"
"C1675","PRTN","CB","0BE000","Z01","1","0","1","0"
"C1679","RALN","CB","038490","Z01","1","0","1","0"
"C1679","RALN","DI","0D0164","Z01","1","0","0,333333333","0"
"C1688","RALN","CD","052487","Z01","1","0","1","0"
"C1688","RALN","CD","049000","Z01","1","0","1","0"
"C1688","RALN","CC","042000","Z01","0","1","0","1"
"C1681","RALN","CB","032000","Z01","0","6","0","6"
"C1698","RALN","CD","052486","Z01","0","3","0","3"
"C1698","RALN","CC","043000","Z01","0","3","0","3"
"C1698","RALN","CB","0B7A00","Z01","2","0","2","0"
"C1694","RALN","CD","052487","Z01","5","0","1,666666667","0"
"C1694","RALN","CD","050000","Z01","1","0","1","0"
"C1694","RALN","CC","046000","Z01","3","0","3","0"
"C1694","RALN","CC","045000","Z01","2","1","2","1"
"C1694","RALN","CC","043000","Z01","0","3","0","1"
"C1694","RALN","CB","037492","Z01","0","1","0","1"
"C1692","RALN","FP","0D0485","Z01","5","0","0","0"
"C1692","RALN","CD","052487","Z01","0","6","0","6"
"C1692","RALN","CC","046000","Z01","10","0","10","0"
"C1692","RALN","CC","042000","Z01","0","10","0","5"
"C1692","RALN","CC","056000","Z01","0","5","0","0"
"C1695","RALN","CD","051488","Z01","0","1","0","1"
"C1695","RALN","CD","050000","Z01","5","3","5","3"
"C1695","RALN","CD","049000","Z01","0","6","0","6"
"C1695","RALN","CC","043000","Z01","2","4","2","2"
"C1695","RALN","CC","042000","Z01","0","4","0","4"
"C1695","RALN","CB","037492","Z01","2","0","1","0"
"C1695","RALN","CB","034000","Z01","0","1","0","0"
"C1701","RALN","FP","0D0103","Z01","28","0","28","0"
"C1701","RALN","CD","0D6A00","Z01","0","15","0","5"
"C1701","RALN","CD","0D6000","Z01","14","9","4,666666667","4,5"
"C1701","RALN","CD","052486","Z01","0","13","0","4,333333333"
