ISTITUZIONE;CONTRATTO;CATEGORIA_PARTENZA;QUALIFICA_PARTENZA;CATEGORIA_ARRIVO;QUALIFICA_ARRIVO;TIPO_PASSAGGIO;NUMERO_PASSAGGI
UC10669;RALN;CC;042000;CC;043000;O;1
UC10669;RALN;CC;056000;CC;042000;O;1
UC10669;RALN;CD;050000;CD;051489;O;1
UC10669;RALN;CD;058000;CD;051488;O;1
C6447;RALN;CC;056000;CC;042000;O;1
C6447;RALN;CB;036495;CB;037493;O;2
C4820;RALN;CC;043000;CC;045000;O;2
C4820;RALN;CC;056000;CC;042000;O;2
C4820;RALN;CD;052486;CD;0D6A00;O;1
C4820;RALN;CD;057000;CD;049000;O;2
C4820;RALN;CA;053000;CA;025000;O;2
C4820;RALN;CB;032000;CB;034000;O;2
C4820;RALN;CB;037492;CB;038490;O;1
CM9061;RALN;CC;043000;CC;045000;O;1
CM9061;RALN;CB;034000;CB;036495;O;1
CM9061;RALN;CB;036495;CB;037493;O;3
CM9061;RALN;CD;050000;CD;051489;O;1
CM9061;RALN;CB;054000;CB;032000;O;2
CM9061;RALN;CB;038491;CB;0B7000;O;4
CM9061;RALN;CC;045000;CC;046000;O;20
CM9061;RALN;CC;042000;CC;043000;O;9
CM9061;RALN;CB;037493;CB;038491;O;15
CM9061;RALN;CC;056000;CC;042000;O;17
CM9061;RALN;CB;032000;CB;034000;O;1
CM9061;RALN;CD;051489;CD;052487;O;13
CM9061;RALN;CD;057000;CD;049000;O;9
CM9061;RALN;CD;049000;CD;050000;O;6
U10903;SSNA;SI;S16020;LT;T16026;V;1
U10903;SSNA;MD;SD0E34;MD;SD0E33;O;2
U10903;SSNA;LT;T14E59;LA;A14005;V;1
U10903;SSNA;MD;SD0E34;MD;SD0035;O;1
