ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;COMANDATI_DISTACCATI_UOMINI;COMANDATI_DISTACCATI_DOMME;FUORI_RUOLO_UOMINI;FUORI_RUOLO_DONNE;COMANDATI_DISTACCATI_ESTERO_UOMINI;COMANDATI_DISTACCATI_ESTERO_DONNE;FUORI_RUOLO_ESTERO_UOMINI;FUORI_RUOLO_ESTERO_DONNE;CONVENZIONI_UOMINI;CONVENZIONI_DONNE;CONVENZIONI_ESTERO_UOMINI;CONVENZIONI_ESTERO_DONNE;ESONERI_UOMINI;ESONERI_DONNE;ASPETTATIVE_UOMINI;ASPETTATIVE_DONNE
C3201;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C7484;RALN;CD;049000;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1
C2139;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C7818;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C7117;RALN;CD;049000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C8015;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C6808;RALN;CD;049000;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C3489;RALN;CD;049000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C4044;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C3810;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C397;RALN;CD;049000;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
C2774;RALN;CD;049000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C3122;RALN;CD;049000;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C5641;RALN;CD;049000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C3349;RALN;CD;049000;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
C4236;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C5592;RALN;CD;049000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C3224;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
UC11896;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C1725;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C789;RALN;CD;049000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C3296;RALN;CD;049000;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
IP10522;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
C206;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
UC12530;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
C3847;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C4687;RALN;CD;049000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C5386;RALN;CD;049000;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0
C5168;RALN;CD;049000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
C3567;RALN;CD;049000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C1918;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
UC12396;RALN;CD;049000;0;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0
UC10031;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
